[16:43:25.557] [INFO   ] thread bguspl.set.Main.main() starting.
[16:43:25.559] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:43:25.561] [SEVERE ] configuration file was loaded from resources directory.
[16:43:26.450] [INFO   ] thread dealer starting.
[16:43:26.451] [INFO   ] thread dealer starting.
[16:43:28.311] [SEVERE ] key 81 was pressed by player 1
[16:43:28.354] [SEVERE ] key 87 was pressed by player 1
[16:43:28.511] [SEVERE ] key 69 was pressed by player 1
[16:43:28.894] [SEVERE ] key 81 was pressed by player 1
[16:43:28.920] [SEVERE ] key 87 was pressed by player 1
[16:43:28.995] [SEVERE ] key 69 was pressed by player 1
[16:43:29.266] [SEVERE ] key 69 was pressed by player 1
[16:43:29.302] [SEVERE ] key 87 was pressed by player 1
[16:43:29.389] [SEVERE ] key 82 was pressed by player 1
[16:43:29.575] [SEVERE ] key 81 was pressed by player 1
[16:43:29.611] [SEVERE ] key 87 was pressed by player 1
[16:43:29.707] [SEVERE ] key 82 was pressed by player 1
[16:43:29.870] [SEVERE ] key 81 was pressed by player 1
[16:43:29.891] [SEVERE ] key 87 was pressed by player 1
[16:43:29.909] [SEVERE ] key 69 was pressed by player 1
[16:43:29.987] [SEVERE ] key 82 was pressed by player 1
[16:43:30.170] [SEVERE ] key 81 was pressed by player 1
[16:43:30.191] [SEVERE ] key 87 was pressed by player 1
[16:43:30.206] [SEVERE ] key 69 was pressed by player 1
[16:43:30.275] [SEVERE ] key 82 was pressed by player 1
[16:43:30.461] [SEVERE ] key 81 was pressed by player 1
[16:43:30.482] [SEVERE ] key 87 was pressed by player 1
[16:43:30.497] [SEVERE ] key 69 was pressed by player 1
[16:43:30.562] [SEVERE ] key 82 was pressed by player 1
[16:43:30.755] [SEVERE ] key 81 was pressed by player 1
[16:43:30.777] [SEVERE ] key 69 was pressed by player 1
[16:43:30.791] [SEVERE ] key 87 was pressed by player 1
[16:43:30.856] [SEVERE ] key 82 was pressed by player 1
[16:43:31.064] [SEVERE ] key 81 was pressed by player 1
[16:43:31.088] [SEVERE ] key 87 was pressed by player 1
[16:43:31.110] [SEVERE ] key 69 was pressed by player 1
[16:43:31.187] [SEVERE ] key 82 was pressed by player 1
[16:43:31.354] [SEVERE ] key 81 was pressed by player 1
[16:43:31.376] [SEVERE ] key 87 was pressed by player 1
[16:43:31.433] [SEVERE ] key 69 was pressed by player 1
[16:43:31.473] [SEVERE ] key 82 was pressed by player 1
[16:43:31.644] [SEVERE ] key 81 was pressed by player 1
[16:43:31.662] [SEVERE ] key 87 was pressed by player 1
[16:43:31.677] [SEVERE ] key 69 was pressed by player 1
[16:43:31.771] [SEVERE ] key 82 was pressed by player 1
[16:43:31.969] [SEVERE ] key 81 was pressed by player 1
[16:43:31.993] [SEVERE ] key 87 was pressed by player 1
[16:43:32.013] [SEVERE ] key 69 was pressed by player 1
[16:43:32.082] [SEVERE ] key 82 was pressed by player 1
[16:43:32.284] [SEVERE ] key 81 was pressed by player 1
[16:43:32.315] [SEVERE ] key 87 was pressed by player 1
[16:43:32.363] [SEVERE ] key 69 was pressed by player 1
[16:43:32.402] [SEVERE ] key 82 was pressed by player 1
[16:43:32.630] [SEVERE ] key 81 was pressed by player 1
[16:43:32.652] [SEVERE ] key 87 was pressed by player 1
[16:43:32.761] [SEVERE ] key 82 was pressed by player 1
[16:43:32.962] [SEVERE ] key 81 was pressed by player 1
[16:43:32.981] [SEVERE ] key 87 was pressed by player 1
[16:43:33.035] [SEVERE ] key 69 was pressed by player 1
[16:43:33.098] [SEVERE ] key 82 was pressed by player 1
[16:43:33.325] [SEVERE ] key 87 was pressed by player 1
[16:43:33.359] [SEVERE ] key 69 was pressed by player 1
[16:43:33.377] [SEVERE ] key 81 was pressed by player 1
[16:43:33.430] [SEVERE ] key 82 was pressed by player 1
[16:43:33.618] [SEVERE ] key 87 was pressed by player 1
[16:43:33.667] [SEVERE ] key 69 was pressed by player 1
[16:43:33.687] [SEVERE ] key 81 was pressed by player 1
[16:43:33.714] [SEVERE ] key 82 was pressed by player 1
[16:43:33.956] [SEVERE ] key 81 was pressed by player 1
[16:43:33.977] [SEVERE ] key 87 was pressed by player 1
[16:43:33.993] [SEVERE ] key 69 was pressed by player 1
[16:43:34.041] [SEVERE ] key 82 was pressed by player 1
[16:43:34.239] [SEVERE ] key 81 was pressed by player 1
[16:43:34.262] [SEVERE ] key 87 was pressed by player 1
[16:43:34.282] [SEVERE ] key 69 was pressed by player 1
[16:43:34.350] [SEVERE ] key 82 was pressed by player 1
[16:43:34.567] [SEVERE ] key 87 was pressed by player 1
[16:43:34.588] [SEVERE ] key 81 was pressed by player 1
[16:43:34.611] [SEVERE ] key 69 was pressed by player 1
[16:43:34.672] [SEVERE ] key 82 was pressed by player 1
[16:43:36.971] [SEVERE ] exit button pressed
